               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025435,            0.012483,           0.0016514,             0.69876,             0.87111,             0.83143,             0.57888,            0.024118,           0.0076165,           0.0013583,            0.006535,            0.006535,            0.006535
                  37,            0.025195,            0.011933,           0.0012278,             0.72418,             0.79572,             0.83435,             0.58867,            0.024161,           0.0074816,           0.0016617,            0.006436,            0.006436,            0.006436
                  38,            0.024602,            0.012326,           0.0019578,             0.79613,             0.78444,             0.82108,             0.59133,            0.023791,           0.0076821,           0.0014569,            0.006337,            0.006337,            0.006337
                  39,            0.024076,            0.012223,           0.0015302,             0.77761,             0.84722,             0.85498,             0.62362,            0.024036,           0.0071599,           0.0013269,            0.006238,            0.006238,            0.006238
                  40,            0.023932,            0.012027,           0.0013296,             0.75955,             0.79611,             0.83061,              0.6092,            0.022931,           0.0075104,           0.0011069,            0.006139,            0.006139,            0.006139
                  41,            0.024114,             0.01231,           0.0014383,             0.80191,             0.75817,             0.84523,             0.60822,             0.02253,           0.0077026,           0.0011831,             0.00604,             0.00604,             0.00604
                  42,            0.023501,            0.012423,           0.0013829,             0.74464,             0.80486,             0.82776,             0.59978,            0.023335,           0.0076766,           0.0013392,            0.005941,            0.005941,            0.005941
                  43,            0.023929,            0.011664,           0.0014956,             0.71417,             0.79579,             0.80331,             0.58398,            0.024705,           0.0082152,           0.0018212,            0.005842,            0.005842,            0.005842
                  44,            0.023144,            0.011868,           0.0014217,             0.78907,             0.75226,             0.82157,             0.58914,            0.022805,           0.0078485,           0.0017066,            0.005743,            0.005743,            0.005743
                  45,            0.023434,            0.011309,           0.0013313,             0.78578,             0.79667,             0.83986,             0.60294,            0.023546,           0.0073018,           0.0013295,            0.005644,            0.005644,            0.005644
                  46,            0.023279,            0.011282,           0.0011397,             0.78691,             0.83056,             0.84718,             0.63295,            0.022486,           0.0074975,           0.0018487,            0.005545,            0.005545,            0.005545
                  47,            0.022784,            0.011363,           0.0010515,             0.77495,             0.86434,             0.85043,             0.62471,            0.022905,           0.0076389,           0.0019389,            0.005446,            0.005446,            0.005446
                  48,            0.022643,            0.011459,           0.0012207,             0.75047,             0.84323,             0.83842,             0.61118,            0.023307,           0.0080464,           0.0016694,            0.005347,            0.005347,            0.005347
                  49,            0.022644,            0.011523,            0.001024,             0.72955,             0.82744,             0.82158,             0.61456,             0.02545,           0.0079973,           0.0028861,            0.005248,            0.005248,            0.005248
                  50,            0.022114,             0.01134,           0.0011418,             0.71469,             0.74778,             0.79041,             0.59822,            0.023686,           0.0084109,           0.0019021,            0.005149,            0.005149,            0.005149
                  51,            0.022012,            0.011332,           0.0011993,             0.81003,             0.72508,              0.8321,              0.6113,            0.023509,            0.008085,           0.0018726,             0.00505,             0.00505,             0.00505
